name,rating,position,version,price,skills,weak_foot,work_rate,pace,shooting,passing,dribbling,defending,physicality,height,base_stats,in_game_stats
Johan Cruyff,94,"CF,ST",Icon,3.32M,5,5,H \ L,91,92,91,94,42,73,"180cm | 5'11""",2103,483
Lev Yashin,94,GK,Icon,765K,1,3,M \ M,95,89,75,96,60,95,"189cm | 6'2""",1171,510
Mané Garrincha,94,"RW,RM",Icon,1.04M,5,4,M \ L,90,87,94,96,41,68,"169cm | 5'7""",1038,476
Paolo Maldini,94,"CB,LB",Icon,1.4M,2,4,M \ H,86,56,75,69,96,83,"186cm | 6'1""",1578,465
Ronaldinho,94,"LW,LM,CAM",Icon,5.9M,5,4,H \ L,92,90,91,95,37,81,"180cm | 5'11""",2292,486
Ronaldo,94,"ST,CF",Icon,5.68M,5,5,M \ L,93,93,80,93,46,80,"183cm | 6'0""",3627,485
Zinedine Zidane,94,"CAM,CM,LM",Icon,1.74M,5,5,M \ M,82,90,93,92,72,83,"185cm | 6'1""",3158,512
Müller,94,"ST,CF",Icon,410K,4,4,H \ M,88,94,77,88,43,76,"176cm | 5'9""",862,466
Lionel Messi,94,"RW,RM",Champions League,1.4M,4,4,L \ L,85,92,94,97,37,69,"169cm | 5'7""",1889,474
Lionel Messi,94,"CF,ST",World Cup TOTT,2.2M,4,4,H \ L,86,93,94,97,37,70,"169cm | 5'7""",3504,477
Kylian Mbappé,94,"LW,RM,LM,CAM",World Cup TOTT,5.8M,5,4,H \ L,99,92,85,95,40,82,"182cm | 6'0""",1161,493
Achraf Hakimi,94,"RB,RWB",TOTY,2.08M,4,4,H \ M,99,81,90,91,90,91,"181cm | 5'11""",1682,542
Éder Militão,94,"CB,RB",TOTY,1.63M,2,3,M \ M,90,60,81,83,95,92,"186cm | 6'1""",1116,501
Theo Hernández,94,"LB,LWB",TOTY,1.39M,3,3,H \ M,98,80,88,90,88,92,"184cm | 6'0""",2603,536
David Beckham,94,"RM,CM,RW",TOTY Icon,4.8M,4,4,H \ H,91,88,96,91,70,83,"182cm | 6'0""",1410,519
Ruud Gullit,94,"CF,CM,CAM,ST",TOTY Icon,14.5M,4,5,H \ M,87,93,93,90,84,91,"191cm | 6'3""",1429,538
Alessandro Nesta,94,CB,TOTY Icon,900K,2,3,M \ H,80,46,71,73,95,90,"187cm | 6'2""",694,455
Carlos Alberto Torres,93,"RB,RWB,CB",Icon,898K,3,4,H \ M,90,66,81,86,90,87,"180cm | 5'11""",705,500
Éric Cantona,93,"CF,ST",Icon,1.9M,5,4,H \ M,89,93,90,93,53,92,"188cm | 6'2""",1411,510
Eusébio,93,"CF,ST",Icon,2.8M,4,5,H \ M,94,94,86,93,45,79,"175cm | 5'9""",1482,491
Franco Baresi,93,CB,Icon,224K,2,3,M \ H,70,49,76,72,95,82,"176cm | 5'9""",-39,444
George Best,93,"RW,RM,CAM,LW",Icon,815K,4,4,M \ M,93,91,84,94,58,71,"175cm | 5'9""",1030,491
Lothar Matthäus,93,"CM,CB,CDM",Icon,2.37M,3,4,H \ H,89,89,90,82,90,85,"174cm | 5'9""",247,525
Marco van Basten,93,"ST,CF",Icon,167K,3,4,M \ M,83,94,76,89,39,75,"188cm | 6'2""",240,456
Roberto Baggio,93,"CAM,CF",Icon,232K,5,4,M \ L,86,84,92,92,40,61,"174cm | 5'9""",510,455
Ruud Gullit,93,"CF,CM,CAM,ST",Icon,5.74M,4,5,H \ M,86,91,91,89,82,90,"191cm | 6'3""",1876,529
Thierry Henry,93,"ST,CF,LW",Icon,945K,4,4,M \ M,94,91,83,90,53,80,"188cm | 6'2""",1045,491
Xavier Hernández,93,CM,Icon,411K,4,3,H \ H,81,80,95,93,72,72,"170cm | 5'7""",1580,493
Robert Lewandowski,93,"ST,CF",OTW,192K,4,4,H \ M,79,93,82,88,47,85,"185cm | 6'1""",1452,474
Kylian Mbappé,93,"ST,CF,LW",Road to World Cup,3.63M,5,4,H \ L,98,91,84,94,39,80,"182cm | 6'0""",-445,486
Mané Garrincha,93,"RW,RM",World Cup ICON,1.15M,5,4,M \ L,90,87,93,95,41,68,"169cm | 5'7""",595,474
Kevin De Bruyne,93,"CM,CAM",Winter Wildcards,1.2M,4,5,H \ H,77,90,95,90,67,99,"181cm | 5'11""",1005,518
Marcos Cafú,93,"RWB,RB",Icon,1.45M,4,3,H \ M,92,58,85,88,91,86,"176cm | 5'9""",337,500
Mohamed Salah,93,"RW,RM",FUT Centurions,1.24M,4,3,H \ M,93,92,87,93,51,80,"175cm | 5'9""",-66,496
Javier Zanetti,93,"RB,RWB,LB,CM",TOTY Icon,1.2M,3,4,H \ H,90,66,90,86,90,84,"178cm | 5'10""",964,506
Andrea Pirlo,93,"CM,CDM",TOTY Icon,770K,5,4,M \ M,82,84,96,93,75,75,"177cm | 5'10""",1351,505
Hugo Sánchez,93,"ST,CF",TOTY Icon SBC,751.85K,4,4,H \ M,93,94,84,92,45,78,"176cm | 5'9""",6137,486
Gareth Bale,93,"RW,LB,LWB,RM",Premium SBC,114.25K,4,4,H \ M,91,93,92,90,72,86,"185cm | 6'1""",13566,524
Sadio Mané,93,"LW,LM,CF",Flashback SBC,705.2K,4,4,H \ M,94,88,86,92,49,83,"174cm | 5'9""",3745,492
Kevin De Bruyne,93,"CM,CAM",SIF,385K,4,5,H \ H,77,90,95,89,68,80,"181cm | 5'11""",463,499
Mohamed Salah,93,"RW,RM",TIF,617K,4,3,H \ M,93,92,86,93,51,80,"175cm | 5'9""",652,495
Alessandro Del Piero,92,"CF,CAM,ST",Icon,175K,4,5,M \ M,83,92,89,92,43,67,"174cm | 5'9""",370,466
Alessandro Nesta,92,CB,Icon,220K,2,3,M \ H,72,42,65,67,94,86,"187cm | 6'2""",87,426
Andrea Pirlo,92,"CM,CDM",Icon,255K,5,4,M \ M,73,80,95,91,71,67,"177cm | 5'10""",301,477
Bobby Moore,92,CB,Icon,152K,2,3,M \ M,68,64,83,78,93,85,"178cm | 5'10""",-190,471
Carles Puyol Saforcada,92,"CB,RB",Icon,239K,2,3,M \ H,70,45,68,58,94,90,"178cm | 5'10""",-69,425
David Beckham,92,"RM,CM,RW",Icon,539K,3,3,H \ H,80,87,95,88,69,82,"182cm | 6'0""",471,501
Dennis Bergkamp,92,"CF,CAM,ST",Icon,159K,4,4,M \ M,84,91,86,90,37,78,"183cm | 6'0""",227,466
Emilio Butragueño,92,"ST,CF",Icon,570K,3,5,M \ L,94,90,80,92,41,68,"168cm | 5'6""",1479,465
Fabio Cannavaro,92,CB,Icon,400K,2,3,L \ H,80,43,63,68,95,85,"176cm | 5'9""",569,434
Ferenc Puskás,92,"ST,CF",Icon,611K,4,3,H \ M,89,95,90,91,47,77,"172cm | 5'8""",2432,489
Gary Lineker,92,"ST,CF",Icon,135K,3,4,H \ L,88,91,73,86,36,76,"177cm | 5'10""",-70,450
Hristo Stoichkov,92,"ST,CF,RW,LW",Icon,540K,4,3,M \ M,92,93,86,92,50,86,"178cm | 5'10""",1067,499
Hugo Sánchez,92,"ST,CF",Icon,339K,3,4,H \ M,92,93,81,91,44,75,"176cm | 5'9""",524,476
Javier Zanetti,92,"RB,RWB,LB,CM",Icon,409K,2,4,H \ H,86,63,88,85,90,81,"178cm | 5'10""",468,493
Kenny Dalglish,92,"ST,CF",Icon,459K,4,5,H \ M,90,92,77,90,41,73,"173cm | 5'8""",175,463
Luís Figo,92,"RW,RM,CAM",Icon,550K,4,4,H \ L,92,88,89,92,41,80,"180cm | 5'11""",857,482
Garrincha,92,"RW,RM",Icon,599K,5,4,M \ L,90,86,92,94,41,67,"169cm | 5'7""",1069,470
Paolo Maldini,92,"CB,LB",Icon,619K,2,4,M \ H,82,56,74,68,95,81,"186cm | 6'1""",1796,456
Peter Schmeichel,92,GK,Icon,310K,1,3,M \ M,92,87,88,94,49,90,"193cm | 6'4""",272,500
Raúl González Blanco,92,"CF,ST",Icon,200K,4,4,H \ M,88,92,82,90,47,75,"180cm | 5'11""",683,474
Rivaldo,92,"LW,LM,CAM,CF",Icon,315K,4,2,M \ L,87,91,88,92,44,78,"186cm | 6'1""",214,480
Ruud van Nistelrooy,92,"ST,CF",Icon,120K,3,3,H \ L,86,91,74,85,37,82,"188cm | 6'2""",32,455
Samuel Eto'o,92,"ST,CF",Icon,1.2M,4,4,H \ L,95,93,81,90,47,83,"179cm | 5'10""",1318,489
Müller,92,"ST,CF",Icon,150K,4,4,H \ M,84,93,75,86,42,75,"176cm | 5'9""",690,455
Jairzinho,92,"RW,RM,ST",Icon,2.8M,5,4,H \ H,94,92,87,93,51,76,"173cm | 5'8""",887,493
Kevin De Bruyne,92,"CM,CAM",IF,270K,4,5,H \ H,75,89,94,88,66,79,"181cm | 5'11""",1034,491
Sadio Mané,92,"LM,CF,LW",OTW,500K,4,4,H \ M,93,87,85,91,48,82,"174cm | 5'9""",875,486
Lionel Messi,92,CAM,Ligue 1 POTM SBC,743.1K,4,4,L \ L,82,90,91,95,35,65,"169cm | 5'7""",4481,458
Kylian Mbappé,92,"ST,CF,LW",IF,1.87M,5,4,H \ L,98,90,82,93,37,78,"182cm | 6'0""",19,478
Mohamed Salah,92,"ST,CF,LW",Out Of Position,575K,4,3,H \ M,92,91,85,92,48,78,"175cm | 5'9""",791,486
Robert Lewandowski,92,"ST,CF",LaLiga POTM SBC,324.55K,4,4,H \ M,77,92,81,87,45,84,"185cm | 6'1""",-2715,466
Mohamed Salah,92,"RW,RM",SIF,373K,4,3,H \ M,92,91,85,92,49,78,"175cm | 5'9""",943,487
Bernardo Silva,92,"CAM,CM",World Cup PTG,504K,4,4,H \ H,84,83,89,96,67,75,"173cm | 5'8""",884,494
Marcos Cafú,92,"RB,RWB",World Cup ICON,22.3K,4,4,H \ M,91,58,85,88,89,85,"176cm | 5'9""",1041,496
Christopher Nkunku,92,"CF,CAM,ST",World Cup PTG,2.8M,5,5,H \ M,94,87,90,94,74,76,"175cm | 5'9""",1585,515
Eusébio,92,"CF,ST",World Cup ICON,2.46M,4,5,H \ M,93,94,88,92,41,77,"175cm | 5'9""",666,485
Johan Cruyff,92,"CF,ST",World Cup ICON,2.89M,5,5,H \ L,91,90,89,94,41,73,"180cm | 5'11""",865,478
Sadio Mané,92,"LM,CF,LW",Road to World Cup,497K,4,4,H \ M,93,87,85,91,47,80,"174cm | 5'9""",506,483
Roberto Baggio,92,"CAM,CF",World Cup ICON,172K,5,4,M \ L,87,83,90,91,39,61,"174cm | 5'9""",674,451
Virgil van Dijk,92,CB,World Cup Stories,1.1M,2,3,M \ H,83,61,73,74,92,88,"193cm | 6'4""",782,471
Lothar Matthäus,92,"CDM,CB,CM",World Cup ICON,2.11M,3,4,H \ H,88,87,88,80,90,83,"174cm | 5'9""",672,516
Casillas Fernández,92,GK,Icon,370K,1,3,M \ M,93,89,85,95,60,91,,196,513
Karim Benzema,92,"CM,CAM",Winter Wildcards,1.6M,5,4,H \ H,83,89,87,92,81,86,"185cm | 6'1""",1761,518
Robert Pirès,92,"LM,RM,CAM,LW",TOTY Icon,720K,5,4,H \ M,90,86,89,92,41,70,"187cm | 6'2""",1002,468
Claude Makélélé,92,"CDM,RM,CM",TOTY Icon,907K,3,4,L \ H,85,52,83,83,90,89,"174cm | 5'9""",1375,482
Edwin van der Sar,92,GK,TOTY Icon,974K,1,3,M \ M,87,91,85,90,50,96,"197cm | 6'6""",883,499
Kylian Mbappé,92,"ST,CF,RW,LW",Ligue 1 POTM SBC,2.12M,5,4,H \ L,98,90,83,93,37,77,"182cm | 6'0""",-7959,478
Harry Kane,92,"ST,CF",TOTY Honourable Ment,200K,3,5,H \ H,86,95,88,87,49,88,"188cm | 6'2""",815,493
Xabi Alonso,92,"CDM,CM",TOTY Icon SBC,477.25K,4,4,H \ H,80,83,92,86,87,85,"183cm | 6'0""",9222,513
Julián Álvarez,92,"ST,CF,RW,LW",FUT Future Stars,943K,4,5,H \ H,90,91,86,90,60,81,"173cm | 5'8""",2012,498
Jamal Musiala,92,"CAM,CM,LM",FUT Future Stars,1.21M,5,4,H \ M,87,84,86,94,75,75,"183cm | 6'0""",1261,501
Leon Goretzka,92,"CM,CDM",UCL Live,1.32M,3,4,H \ M,85,87,88,88,87,91,"189cm | 6'2""",716,526
Lionel Messi,92,"ST,RM,CF",IF,458K,4,4,L \ L,83,90,91,95,35,66,"169cm | 5'7""",1094,460
Casemiro,92,CDM,MOTM,97.5K,2,3,M \ H,68,77,80,76,90,93,"185cm | 6'1""",291,484
Alan Shearer,91,"ST,CF",Icon,81K,2,3,H \ M,81,93,77,78,52,85,"182cm | 6'0""",-169,466
Andriy Shevchenko,91,"ST,CF,RW",Icon,150K,3,4,H \ H,88,92,72,87,34,75,"183cm | 6'0""",498,448
Bastian Schweinsteiger,91,"CM,LM",Icon,230K,3,3,H \ H,76,86,89,86,86,86,"183cm | 6'0""",595,509
Clarence Seedorf,91,"CAM,RM,LM",Icon,142K,4,4,M \ M,80,87,90,88,68,82,"176cm | 5'9""",302,495
David Trezeguet,91,"ST,CF",Icon,95K,4,4,M \ L,81,92,70,82,45,80,"187cm | 6'2""",-176,450
Didier Drogba,91,"ST,CF",Icon,495K,4,4,H \ H,90,92,77,82,47,90,"189cm | 6'2""",901,478
Pelé,91,"CF,CAM,ST,LW",Icon,2.26M,5,4,H \ M,94,89,88,93,53,73,"172cm | 5'8""",1775,490
Edwin van der Sar,91,GK,Icon,555K,1,3,M \ M,85,90,81,89,40,95,"197cm | 6'6""",514,480
Eusébio,91,"CF,ST",Icon,1.3M,4,5,H \ M,93,93,88,90,42,74,"175cm | 5'9""",2242,480
Fernando Hierro Ruiz,91,CB,Icon,163K,2,3,M \ H,73,68,76,70,93,87,"187cm | 6'2""",70,467
Fernando Torres,91,"ST,CF",Icon,360K,4,4,H \ M,93,90,79,88,45,78,"186cm | 6'1""",1828,473
Franco Baresi,91,CB,Icon,119K,2,3,M \ H,69,48,74,70,94,80,"176cm | 5'9""",-52,435
Gheorghe Hagi,91,"CAM,CM,LM",Icon,220K,4,4,M \ L,83,89,90,90,43,65,"172cm | 5'8""",2552,460
Ian Rush,91,"ST,CF",Icon,84K,3,4,H \ M,86,92,72,86,45,81,"180cm | 5'11""",109,462
Johan Cruyff,91,"CF,CAM,ST",Icon,1.77M,5,5,H \ L,91,89,88,93,41,72,"180cm | 5'11""",3484,474
Riquelme,91,CAM,Icon,99K,5,4,M \ L,70,87,93,93,32,69,"183cm | 6'0""",-1,444
Kaká,91,CAM,Icon,476K,5,4,H \ M,91,86,88,92,44,73,"186cm | 6'1""",3409,474
Laurent Blanc,91,"CB,CAM",Icon,223K,2,3,M \ H,79,69,70,78,92,86,"192cm | 6'4""",298,474
Lev Yashin,91,GK,Icon,297K,1,3,M \ M,93,85,73,93,62,92,"189cm | 6'2""",538,498
Lothar Matthäus,91,"CDM,CB,RM",Icon,834K,3,4,H \ H,87,84,86,77,89,82,"174cm | 5'9""",1680,505
Marcel Desailly,91,"CB,CDM",Icon,506K,2,3,M \ H,83,52,66,67,90,90,"185cm | 6'1""",1415,448
Marco van Basten,91,"ST,CF",Icon,75.5K,3,4,M \ L,79,92,75,87,40,70,"188cm | 6'2""",108,443
Michael Ballack,91,"CM,CAM",Icon,314K,4,4,M \ H,81,90,88,83,81,86,"188cm | 6'2""",535,509
Michael Laudrup,91,"CAM,LW",Icon,82K,4,4,M \ M,85,79,90,92,38,64,"183cm | 6'0""",47,448
Michael Owen,91,"ST,CF",Icon,119K,3,4,M \ M,90,89,70,88,34,67,"173cm | 5'8""",154,438
Miroslav Klose,91,"ST,CF",Icon,96K,3,4,H \ M,88,88,76,82,41,81,"184cm | 6'0""",214,456
Patrick Kluivert,91,"ST,CF",Icon,82K,4,4,H \ L,86,88,80,83,41,82,"188cm | 6'2""",10,460
Patrick Vieira,91,CM,Icon,1.91M,3,3,M \ H,83,80,82,85,90,91,"192cm | 6'4""",979,511
Paul Scholes,91,"CM,CAM",Icon,139K,3,3,H \ M,72,87,91,80,64,82,"171cm | 5'7""",-161,476
Pavel Nedvěd,91,"LM,CAM,LW",Icon,191K,4,5,H \ M,85,88,90,90,60,81,"177cm | 5'10""",420,494
Petr Cech,91,GK,Icon,272K,1,3,M \ M,89,88,80,91,55,92,"196cm | 6'5""",903,495
Philipp Lahm,91,"RB,RWB,LB,CDM",Icon,433K,3,3,H \ H,87,72,87,87,90,73,"170cm | 5'7""",822,496
Robert Pirès,91,"LM,RM,CAM,LW",Icon,158K,4,4,M \ M,88,82,88,89,40,64,"187cm | 6'2""",-85,451
Roberto Baggio,91,"CAM,CF",Icon,117K,5,4,M \ L,88,82,89,90,38,60,"174cm | 5'9""",920,447
Roberto Carlos,91,"LB,LWB",Icon,1.03M,3,2,H \ H,92,83,84,81,86,86,"168cm | 5'6""",953,512
Ronald Koeman,91,CB,Icon,229K,3,3,H \ M,75,88,89,80,90,86,"181cm | 5'11""",87,508
Ronaldinho,91,"CAM,CF,LW",Icon,1.95M,5,4,H \ L,91,86,88,92,36,79,"180cm | 5'11""",2550,472
Sócrates,91,CAM,Icon,223K,4,5,H \ M,84,90,91,90,45,84,"192cm | 6'4""",595,484
Steven Gerrard,91,"CM,CDM",Icon,251K,3,3,H \ M,77,90,90,85,77,84,"183cm | 6'0""",424,503
Zinedine Zidane,91,"CM,CAM",Icon,1.47M,5,5,H \ M,84,86,91,90,73,81,"185cm | 6'1""",1530,505
Robin van Persie,91,"ST,CF",Icon,157K,4,4,H \ L,85,94,87,90,46,74,"183cm | 6'0""",834,476
Wayne Rooney,91,"ST,CAM,CF",Icon,323K,3,4,H \ H,89,92,83,88,55,89,"176cm | 5'9""",2363,496
Diego Forlán,91,"ST,CF,LW",World Cup Hero,404K,4,4,H \ H,90,94,83,90,58,80,"180cm | 5'11""",2467,495
Rudolf Völler,91,"ST,CF",World Cup Hero,618K,3,4,H \ M,91,94,78,90,49,87,"180cm | 5'11""",2698,489
Karim Benzema,91,"CF,ST",Normal,64K,4,4,M \ M,80,88,83,87,39,78,"185cm | 6'1""",3707,455
Robert Lewandowski,91,"ST,CF",Normal,64K,4,4,H \ M,75,91,79,86,44,83,"185cm | 6'1""",1161,458
Kylian Mbappé,91,"ST,CF,LW",Normal,578K,5,4,H \ L,97,89,80,92,36,76,"182cm | 6'0""",-603,470
Kevin De Bruyne,91,"CM,CAM",Normal,64K,4,5,H \ H,74,88,93,87,64,77,"181cm | 5'11""",2113,483
Lionel Messi,91,"RW,RM",Normal,65K,4,4,L \ L,81,89,90,94,34,64,"169cm | 5'7""",3320,452
Mohamed Salah,91,"RM,RW",IF,325K,4,3,H \ M,91,90,83,91,47,77,"175cm | 5'9""",588,479
Aubameyang,91,"ST,CF",UCL LIVE,219K,4,4,H \ L,93,90,84,85,42,76,"187cm | 6'2""",1969,470
Cristiano Ronaldo,91,"ST,CF",Rulebreakers,479K,5,4,H \ L,83,89,80,90,37,78,"187cm | 6'2""",1562,457
Robert Lewandowski,91,"ST,CF",World Cup Player,0,4,4,H \ M,75,91,79,86,44,83,"185cm | 6'1""",47,458
Lionel Messi,91,"RW,RM",World Cup Player,0,4,4,L \ L,81,89,90,94,34,64,"169cm | 5'7""",301,452
Kylian Mbappé,91,"ST,CF,LW",World Cup Player,0,5,4,H \ L,97,89,80,92,36,76,"182cm | 6'0""",-473,470
Kevin De Bruyne,91,"CM,CAM",World Cup Player,0,4,5,H \ H,74,88,93,87,64,77,"181cm | 5'11""",32,483
Karim Benzema,91,"CF,ST",World Cup Player,0,4,4,M \ M,80,88,83,87,39,78,"185cm | 6'1""",44,455
Alejandro Gómez,91,"CAM,LW",World Cup PTG,750K,5,5,H \ M,93,87,90,93,47,65,"167cm | 5'6""",1047,475
Heung Min Son,91,"LW,LM",Road to World Cup,595K,4,5,H \ M,90,91,86,89,44,75,"183cm | 6'0""",759,475
Emilio Butragueño,91,"ST,CF",World Cup ICON,670K,4,5,M \ L,93,89,80,91,42,69,"168cm | 5'6""",1122,464
Bobby Moore,91,CB,World Cup ICON,169K,2,3,M \ M,80,62,82,77,92,84,"178cm | 5'10""",1689,477
Luís Figo,91,"RW,RM,CAM",World Cup ICON,722K,5,4,H \ L,91,87,89,91,40,79,"180cm | 5'11""",738,477
Iker Casillas,91,GK,World Cup ICON,220K,1,3,M \ M,92,88,85,91,59,91,"185cm | 6'1""",513,506
Samuel Eto'o,91,"ST,CF",World Cup ICON,1.83M,4,5,H \ L,93,92,82,89,52,82,"179cm | 5'10""",734,490
Gareth Bale,91,"RW,RM",World Cup Stories,89.5K,4,3,M \ M,89,92,90,88,63,83,"185cm | 6'1""",1580,505
Carles Puyol Saforcada,91,"CB,RB",World Cup ICON SBC,179.95K,2,3,M \ H,75,45,67,58,93,91,"178cm | 5'10""",358,429
Fabio Cannavaro,91,CB,World Cup ICON,195K,2,3,L \ H,78,44,63,67,93,84,"176cm | 5'9""",300,429
Kenny Dalglish,91,"ST,CF",World Cup ICON,323K,4,5,H \ M,89,91,78,89,42,72,"173cm | 5'8""",688,461
Rafael Leão,91,"ST,CF",World Cup Phenoms,774K,5,4,M \ L,96,85,81,91,34,83,"188cm | 6'2""",1780,470
Hristo Stoichkov,91,"LW,LM,ST,RW",World Cup ICON SBC,710.3K,4,4,M \ M,91,92,87,91,49,85,"178cm | 5'10""",3328,495
Harry Kane,91,"ST,CF",World Cup TOTT,112K,3,5,H \ H,84,93,86,85,48,85,"188cm | 6'2""",878,481
Casemiro,91,CM,World Cup TOTT,178K,3,3,M \ H,76,78,80,77,90,92,"185cm | 6'1""",1492,493
N'Golo Kanté,91,"CDM,CM",Winter Wildcards,1.14M,2,3,M \ H,80,75,81,85,90,85,"168cm | 5'6""",941,496
Toni Kroos,91,CM,Winter Wildcards SBC,296.65K,5,5,M \ M,80,85,93,86,79,76,"183cm | 6'0""",5226,499
Joshua Kimmich,91,"CM,RB,CDM",Winter Wildcards,675K,4,4,H \ M,78,80,90,99,85,81,"177cm | 5'10""",1105,513
Neymar Jr,91,"CAM,LM,CF,LW",FUT Centurions,2.68M,5,5,H \ M,90,87,87,95,39,64,"175cm | 5'9""",1435,462
Casemiro,91,CDM,SIF,69.5K,2,3,M \ H,66,76,78,75,89,92,"185cm | 6'1""",341,476
Sergio Ramos,91,CB,Flashback SBC,698.85K,3,3,H \ M,83,72,78,77,92,88,"184cm | 6'0""",4355,490
Nemanja Vidic,91,CB,TOTY Icon,1.14M,2,3,M \ H,84,51,63,74,94,92,"190cm | 6'3""",1576,458
Ashley Cole,91,"LB,LWB",TOTY Icon,500K,4,3,H \ M,90,70,85,85,91,81,"176cm | 5'9""",962,502
Kalidou Koulibaly,91,CB,TOTY Honourable Ment,440K,2,4,M \ H,85,37,70,77,92,90,"187cm | 6'2""",1101,451
Vinícius Júnior,91,"LW,LM",TOTY Honourable Ment,2.6M,5,4,H \ M,99,86,82,94,34,76,"176cm | 5'9""",1037,471
João Cancelo,91,"LB,RB,LWB",TOTY Honourable Ment,399K,4,4,H \ H,90,78,88,90,85,80,"182cm | 6'0""",2018,511
Páez Gavira,91,"CM,CAM,RW,LW",FUT Future Stars,472K,4,4,H \ H,88,80,90,92,76,81,"173cm | 5'8""",1126,507
Cristiano Ronaldo,91,"ST,CF",IF,115K,5,4,H \ L,83,93,80,86,35,76,"187cm | 6'2""",3275,453
Roberto Firmino,91,"CF,ST",UCL Live,560K,5,4,H \ H,88,87,87,94,67,84,"181cm | 5'11""",915,507
Nicolò Barella,91,CM,UCL Live,285K,3,3,H \ H,84,84,91,89,86,86,"172cm | 5'8""",1675,520
David Alaba,91,CB,UCL Live,997K,3,4,M \ M,85,76,89,88,92,88,"180cm | 5'11""",683,518
Gabriel Martinelli,91,"LM,LW",UEL Live,295K,4,4,H \ H,96,84,83,93,64,82,"178cm | 5'10""",1089,502
Anthony Martial,91,"ST,LM,CF",UEL Live,977K,4,4,M \ L,94,90,85,95,46,80,"184cm | 6'0""",1459,490
David Ginola,91,"ST,LM,CAM,LW",Fantasy Hero,8.4M,5,5,H \ M,92,90,89,93,58,86,"186cm | 6'1""",1199,508
Abedi Pelé,91,"CAM,LM,CF",Fantasy Hero,1.1M,4,4,M \ M,93,85,89,93,51,68,"174cm | 5'9""",445,479
Jean-Pierre Papin,91,"ST,CF",Fantasy Hero,235K,3,4,H \ M,86,95,75,86,47,79,"176cm | 5'9""",-187,468
Morientes,91,"ST,CF",Fantasy Hero,170K,4,4,H \ M,87,93,80,85,48,88,"186cm | 6'1""",385,481
Alessandro Del Piero,90,"CF,CAM,ST",Icon,125K,4,5,M \ M,85,90,85,92,42,69,"174cm | 5'9""",1060,463
Alessandro Nesta,90,CB,Icon,129K,2,3,M \ H,71,41,62,66,91,85,"187cm | 6'2""",110,416
Andrea Pirlo,90,"CM,CDM",Icon,147K,5,4,M \ M,75,79,93,90,68,65,"177cm | 5'10""",693,470
Carles Puyol Saforcada,90,"CB,RB",Icon,169K,2,3,M \ H,72,45,66,58,93,91,"178cm | 5'10""",619,425
Carlos Alberto Torres,90,"RB,RWB,CB",Icon,465K,3,4,H \ M,90,63,80,83,87,84,"180cm | 5'11""",804,487
Christian Vieri,90,"ST,CF",Icon,71K,3,4,M \ M,83,91,74,83,40,84,"185cm | 6'1""",-98,455
